City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,37.47,56,100,32.35,TF,1714770474
1,sitka,57.0531,-135.33,66.09,26,40,12.66,US,1714770469
2,kambove,-10.8764,26.5969,58.41,74,10,2.77,CD,1714770475
3,neiafu,-18.65,-173.9833,83.08,83,75,6.91,TO,1714770475
4,tuntenhausen,47.9351,12.0152,49.48,92,100,1.01,DE,1714770476
5,aleksandrovsk-sakhalinskiy,50.8975,142.1561,32.56,71,8,5.44,RU,1714770476
6,iqaluit,63.7506,-68.5145,25.7,68,39,11.01,CA,1714770477
7,touros,-5.1989,-35.4608,79.79,86,100,10.07,BR,1714770477
8,bredasdorp,-34.5322,20.0403,62.1,73,5,5.64,ZA,1714770478
9,atafu village,-8.5421,-172.5159,81.07,83,100,3.31,TK,1714770478
10,adamstown,-25.066,-130.1015,68.77,57,0,12.95,PN,1714770636
11,les cayes,18.2,-73.75,84.58,64,3,7.99,HT,1714770637
12,lichuan,30.3,108.85,51.01,99,100,1.39,CN,1714770637
13,zavodoukovsk,56.5042,66.5515,39.85,87,100,6.13,RU,1714770637
14,cabo san lucas,22.8909,-109.9124,85.6,50,0,11.5,MX,1714770629
15,vereshchagino,58.0789,54.6557,26.85,70,62,11.36,RU,1714770638
16,lebu,-37.6167,-73.65,52.77,96,100,21.03,CL,1714770639
17,peace river,56.2501,-117.286,59.76,22,8,7.27,CA,1714770640
18,puerto aysen,-45.4,-72.7,41.22,100,100,4.16,CL,1714770482
19,yuzhno-kurilsk,44.0306,145.8556,37.38,90,100,17.27,RU,1714770640
20,ta`u,-14.2336,-169.5144,83.98,74,88,16.78,AS,1714770641
21,thompson,55.7435,-97.8558,38.39,90,100,7.83,CA,1714770641
22,tolanaro,-25.0319,46.9987,69.26,86,97,12.15,MG,1714770642
23,college,64.8569,-147.8028,54.07,44,100,3.11,US,1714770642
24,roswell,34.0232,-84.3616,87.58,56,40,11.5,US,1714770643
25,jumla,29.2747,82.1838,47.75,34,71,5.1,NP,1714770643
26,puerto ayora,-0.7393,-90.3518,84.16,93,8,7.0,EC,1714770644
27,waitangi,-43.9535,-176.5597,50.83,83,100,15.01,NZ,1714770519
28,port mathurin,-19.6833,63.4167,78.22,82,100,5.1,MU,1714770644
29,mount gambier,-37.8333,140.7667,46.49,92,86,4.23,AU,1714770517
30,sinan,34.8262,126.1086,57.06,70,87,9.95,KR,1714770645
31,udachny,66.4167,112.4,14.45,93,34,4.45,RU,1714770646
32,vilyuchinsk,52.9306,158.4028,35.87,97,100,4.7,RU,1714770646
33,blackmans bay,-43.0167,147.3167,47.73,94,55,4.52,AU,1714770646
34,ilulissat,69.2167,-51.1,23.02,68,75,11.5,GL,1714770647
35,isafjordur,66.0755,-23.124,37.8,95,99,11.01,IS,1714770647
36,atar,20.5169,-13.0499,86.56,7,0,4.34,MR,1714770648
37,al kharijah,25.4514,30.5464,81.63,21,0,8.52,EG,1714770648
38,badger,64.8,-147.5333,53.98,40,100,1.99,US,1714770649
39,namibe,-15.1961,12.1522,73.49,75,100,2.93,AO,1714770649
40,codrington,-38.2667,141.9667,48.18,94,100,6.82,AU,1714770650
41,minas de marcona,-15.2119,-75.1103,62.76,80,70,18.37,PE,1714770650
42,olonkinbyen,70.9221,-8.7187,26.78,80,100,15.39,SJ,1714770651
43,invercargill,-46.4,168.35,49.01,82,92,7.0,NZ,1714770595
44,edinburgh of the seven seas,-37.0676,-12.3116,63.86,91,100,46.46,SH,1714770652
45,puerto baquerizo moreno,-0.9,-89.6,81.59,78,20,9.22,EC,1714770610
46,talnakh,69.4865,88.3972,8.08,95,100,5.17,RU,1714770653
47,kruisfontein,-34.0033,24.7314,78.89,21,41,14.14,ZA,1714770653
48,porto novo,6.4965,2.6036,82.74,81,100,5.06,BJ,1714770654
49,pandan,14.0453,124.1694,78.42,86,56,5.41,PH,1714770654
50,kourou,5.1552,-52.6478,80.65,91,83,8.28,GF,1714770655
51,new norfolk,-42.7826,147.0587,48.92,92,92,1.39,AU,1714770655
52,viana do castelo,41.6932,-8.8329,58.23,91,100,19.91,PT,1714770656
53,zhongshu,24.5167,103.7667,56.32,84,0,4.45,CN,1714770656
54,jamestown,42.097,-79.2353,65.84,63,20,10.36,US,1714770508
55,vuktyl,63.8567,57.3094,22.1,67,91,8.99,RU,1714770657
56,fale old settlement,-9.3852,-171.2468,84.49,77,100,10.85,TK,1714770657
57,bethel,41.3712,-73.414,66.34,57,0,10.36,US,1714770658
58,wotho,10.1657,166.0102,81.48,82,98,20.33,MH,1714770658
59,boa vista,2.8197,-60.6733,82.38,74,75,2.3,BR,1714770627
60,barranca,-10.75,-77.7667,69.6,81,59,8.93,PE,1714770659
61,broome,42.2506,-75.833,75.6,50,0,10.36,US,1714770660
62,noumea,-22.2763,166.4572,75.0,99,77,11.7,NC,1714770660
63,howard springs,-12.497,131.047,76.91,88,57,7.43,AU,1714770661
64,as samawah,31.332,45.2944,77.67,55,0,9.04,IQ,1714770661
65,akhtubinsk,48.2795,46.1722,44.1,48,8,17.94,RU,1714770661
66,grytviken,-54.2811,-36.5092,34.81,83,77,8.41,GS,1714770662
67,alice springs,-23.7,133.8833,42.35,81,0,5.75,AU,1714770663
68,port elizabeth,-33.918,25.5701,81.1,45,3,1.99,ZA,1714770663
69,saguenay,48.4168,-71.0657,61.09,50,93,7.0,CA,1714770664
70,klaksvik,62.2266,-6.589,47.32,96,22,13.24,FO,1714770664
71,olinda,-8.0089,-34.8553,83.93,74,40,12.66,BR,1714770665
72,carnarvon,-24.8667,113.6333,71.67,77,6,24.36,AU,1714770665
73,sisimiut,66.9395,-53.6735,21.83,73,80,19.84,GL,1714770666
74,sarh,9.1429,18.3923,91.08,20,99,4.74,TD,1714770666
75,haiku-pauwela,20.9219,-156.3051,77.16,66,75,21.85,US,1714770667
76,la plata,-34.9215,-57.9545,57.94,66,76,4.76,AR,1714770667
77,mana,5.6592,-53.7767,81.01,83,100,10.33,GF,1714770668
78,california city,35.1258,-117.9859,83.86,20,0,11.5,US,1714770668
79,thongwa,16.7619,96.5278,82.56,69,4,7.85,MM,1714770669
80,lido di ostia,41.7321,12.2765,58.95,82,0,3.44,IT,1714770669
81,calabozo,8.9242,-67.4293,99.37,30,86,2.86,VE,1714770669
82,ad dilam,23.9915,47.1627,81.01,21,0,9.26,SA,1714770670
83,nizhneudinsk,54.9076,99.0276,44.64,80,100,2.77,RU,1714770670
84,parras de la fuente,25.4167,-102.1833,90.18,7,0,10.45,MX,1714770671
85,kovdor,67.5662,30.4758,32.83,100,100,1.83,RU,1714770671
86,irymple,-34.25,142.1667,52.09,92,95,14.74,AU,1714770672
87,novoukrayinka,48.3264,31.5285,52.12,60,11,13.04,UA,1714770672
88,kralendijk,12.15,-68.2667,84.18,79,20,12.66,BQ,1714770673
89,tazovsky,67.4667,78.7,14.18,96,99,8.68,RU,1714770673
90,emerald,-23.5333,148.1667,60.35,88,0,10.6,AU,1714770674
91,holualoa,19.6228,-155.9522,78.64,75,40,9.22,US,1714770674
92,prince rupert,54.3161,-130.3201,55.81,62,97,7.29,CA,1714770674
93,volksrust,-27.3654,29.8818,52.38,61,0,2.24,ZA,1714770675
94,saudarkrokur,65.7461,-19.6394,49.17,70,72,7.23,IS,1714770675
95,georgetown,5.4112,100.3354,82.33,89,20,2.3,MY,1714770620
96,mount pearl,47.5166,-52.7813,39.45,95,100,16.11,CA,1714770487
97,tillmans corner,30.5902,-88.1708,80.37,76,75,10.36,US,1714770676
98,hermanus,-34.4187,19.2345,57.79,82,22,6.93,ZA,1714770677
99,stanley,54.868,-1.6985,49.59,94,75,4.61,GB,1714770677
100,port alfred,-33.5906,26.891,78.17,37,0,10.83,ZA,1714770678
101,ancud,-41.8697,-73.8203,50.25,86,81,11.01,CL,1714770678
102,khandyga,62.6667,135.6,28.71,91,100,0.94,RU,1714770679
103,pacasmayo,-7.4006,-79.5714,71.06,78,49,15.3,PE,1714770679
104,lerwick,60.1545,-1.1494,51.8,83,94,8.48,GB,1714770680
105,yanchep,-31.55,115.6833,56.61,72,93,9.64,AU,1714770680
106,ust-nera,64.5667,143.2,26.98,94,100,5.7,RU,1714770681
107,colonia,50.9333,6.95,54.97,82,0,2.3,DE,1714770682
108,wewak,-3.5534,143.6268,78.93,87,99,3.62,PG,1714770682
109,ribeira grande,38.5167,-28.7,64.78,95,41,18.01,PT,1714770683
110,embarcacion,-23.209,-64.096,63.21,83,100,4.16,AR,1714770684
111,milford haven,51.7128,-5.0341,51.62,94,100,12.17,GB,1714770684
112,puerto natales,-51.7236,-72.4875,41.45,87,100,9.22,CL,1714770685
113,lihue,21.9789,-159.3672,83.44,69,75,20.71,US,1714770685
114,kodinar,20.7903,70.7031,79.25,82,6,10.92,IN,1714770686
115,afaahiti,-17.75,-149.2833,82.27,82,96,24.47,PF,1714770686
116,whitehorse,60.7161,-135.0538,59.09,27,34,17.0,CA,1714770687
117,gadzhiyevo,69.2551,33.3362,24.6,90,94,1.86,RU,1714770687
118,zonguldak,41.25,31.8333,51.31,99,95,1.79,TR,1714770688
119,utrik,11.2278,169.8474,81.0,82,89,20.09,MH,1714770688
120,gisborne,-38.6533,178.0042,54.46,75,100,4.7,NZ,1714770688
121,dunedin,-45.8742,170.5036,47.8,90,100,10.0,NZ,1714770452
122,wailua homesteads,22.0669,-159.378,82.83,76,75,20.71,US,1714770689
123,hithadhoo,-0.6,73.0833,84.45,77,8,7.81,MV,1714770690
124,navia,43.5354,-6.7194,58.32,75,100,9.31,ES,1714770690
125,nova sintra,14.8667,-24.7167,74.52,78,0,23.24,CV,1714770691
126,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,78,100,8.01,RU,1714770691
127,ust'-kulom,61.6864,53.6902,23.45,80,78,4.05,RU,1714770692
128,vadso,70.0744,29.7487,32.88,80,75,12.66,NO,1714770692
129,bilaspur,22.0833,82.15,82.9,10,48,7.47,IN,1714770692
